UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
233,June 06 2015,DOG,Chow Chow,4,M,false,Brooklyn,11234
234,June 05 2015,DOG,Lhasa Apso,5,M,true,Brooklyn,11231
235,June 06 2015,DOG,"Poodle, Standard",3,M,true,Brooklyn,11234
236,June 07 2015,DOG,"Pointer, German Shorthaired",8,F,true,Brooklyn,11231
237,May 30 2015,DOG,SCHNOODLE,,U,false,Brooklyn,11211
238,May 30 2015,DOG,Chow Chow,2,M,false,Brooklyn,11208
239,June 05 2015,DOG,Yorkshire Terrier,,U,false,Brooklyn,11221
240,June 10 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11237
241,June 09 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11213
242,June 10 2015,DOG,Cane Corso,2,M,false,Brooklyn,11224
243,June 09 2015,DOG,ENGLISH SETTER,6,M,false,Brooklyn,
244,June 09 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,F,false,Brooklyn,11208
245,June 09 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11224
246,June 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11233
247,June 12 2015,DOG,Maltese,,U,false,Brooklyn,11235
248,June 14 2015,DOG,TERRIER MIX,6,M,true,Brooklyn,
249,June 14 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11208
250,June 13 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
251,June 14 2015,DOG,Jack Russ,3,F,true,Brooklyn,
252,June 12 2015,DOG,Jack Russ,2,M,true,Brooklyn,11235
253,June 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11216
254,June 16 2015,DOG,DOBERMAN X,1,F,false,Brooklyn,11215
255,June 14 2015,DOG,American Eskimo,5,M,true,Brooklyn,11230
256,June 19 2015,DOG,American Staffordshire Terrier,7,F,true,Brooklyn,11233
257,June 18 2015,DOG,BOSTON TERR/BOXER X,,U,false,Brooklyn,11228
258,June 07 2015,DOG,Chihuahua,3,M,true,Brooklyn,11217
259,June 22 2015,DOG,Golden Retriever,12,F,true,Brooklyn,11229
260,June 22 2015,DOG,MALTESE/CHIHUAHUA X,1,M,false,Brooklyn,11217
261,June 21 2015,DOG,Chihuahua,,U,false,Brooklyn,
262,June 19 2015,DOG,Pit Bull,5,M,true,Brooklyn,11211
263,June 19 2015,DOG,Pit Bull,,U,false,Brooklyn,11229
264,June 18 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,true,Brooklyn,11235
265,June 22 2015,DOG,Maltese,7,F,true,Brooklyn,11220
266,June 21 2015,DOG,Jack Russ,12,F,true,Brooklyn,
267,June 23 2015,DOG,American Pit Bull Terrier/Pit Bull,1,M,false,Brooklyn,11233
268,June 24 2015,DOG,American Pit Bull Terrier/Pit Bull,,M,false,Brooklyn,11230
269,June 26 2015,DOG,UNKNOWN,,U,false,Brooklyn,11220
270,June 24 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11224
271,June 25 2015,DOG,American Staffordshire Terrier,3,M,false,Brooklyn,
272,June 28 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,false,Brooklyn,11203
273,June 26 2015,DOG,Maltese,1,M,false,Brooklyn,11236
274,June 24 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11231
275,June 21 2015,DOG,Pit Bull,,U,false,Brooklyn,11230
276,June 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11229
277,June 21 2015,DOG,Mixed/Other,2,M,false,Brooklyn,11213
278,July 01 2015,DOG,Vizsla,4,M,true,Brooklyn,11249
279,June 29 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11224
280,July 02 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11219
281,March 17 2015,DOG,Jack Russ,10,M,false,Brooklyn,11221
282,July 02 2015,DOG,Golden Retriever,,U,false,Brooklyn,
283,July 05 2015,DOG,Pit Bull,,U,false,Brooklyn,11213
284,June 13 2015,DOG,HUSKY/LAB X,8,F,true,Brooklyn,
285,June 22 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11236
286,July 04 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,false,Brooklyn,
287,July 02 2015,DOG,Chihuahua,3,M,false,Brooklyn,11212
288,July 03 2015,DOG,CHOW CHOW/SHEPARD X,12,M,false,Brooklyn,11207
289,July 04 2015,DOG,Yorkshire Terrier,,U,false,Brooklyn,11210
290,July 04 2015,DOG,MALTIPOO,6,M,true,Brooklyn,11212
291,June 29 2015,DOG,BORDER COLLIE/POINTER X,6,M,true,Brooklyn,11231
292,July 08 2015,DOG,ENG SETTER,6,M,false,Brooklyn,11235
293,July 07 2015,DOG,MIXED,,U,false,Brooklyn,11216
294,July 05 2015,DOG,Wire Fox Terrier,8,M,true,Brooklyn,11205
295,July 12 2015,DOG,American Pit Bull Mix / Pit Bull Mix,3,F,false,Brooklyn,11216
296,July 14 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,false,Brooklyn,11221
297,July 13 2015,DOG,Chihuahua,,U,false,Brooklyn,11207
298,July 06 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11236
299,July 06 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11236
300,July 04 2015,DOG,Jack Russ,1,M,true,Brooklyn,11204
301,July 14 2015,DOG,German Shepherd,,U,false,Brooklyn,
302,July 11 2015,DOG,Siberian Husky,,U,false,Brooklyn,
303,July 13 2015,DOG,German Shepherd,,U,false,Brooklyn,
304,July 10 2015,DOG,Golden Retriever,5,M,true,Brooklyn,11238
305,July 10 2015,DOG,German Shepherd Crossbreed,6,M,false,Brooklyn,11231
306,July 06 2015,DOG,Yorkshire Terrier,6,F,false,Brooklyn,11208
307,July 01 2015,DOG,German Shepherd,6,M,false,Brooklyn,11220
308,July 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11235
309,July 12 2015,DOG,JACK RUSSELL X,10M,M,false,Brooklyn,11236
310,July 13 2015,DOG,Yorkshire Terrier,,U,false,Brooklyn,11209
311,July 11 2015,DOG,Bull dog,,U,false,Brooklyn,
312,July 08 2015,DOG,POODLE/CHIHUAHUA X,2,M,false,Brooklyn,11206
313,July 15 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11207
314,July 16 2015,DOG,Pit Bull,2,F,false,Brooklyn,11205
315,July 17 2015,DOG,Basset Hound,3,M,true,Brooklyn,11220
316,July 15 2015,DOG,German Shepherd,8,F,false,Brooklyn,
317,July 16 2015,DOG,Shiba Inu,1,M,true,Brooklyn,11235
318,July 21 2015,DOG,Shih Tzu,,U,false,Brooklyn,11233
319,July 19 2015,DOG,Pit Bull,,U,false,Brooklyn,
320,July 21 2015,DOG,Cocker Spaniel,13,M,true,Brooklyn,11230
321,July 22 2015,DOG,Pit Bull,11M,F,false,Brooklyn,11206
322,July 19 2015,DOG,Pit Bull,4,M,true,Brooklyn,11222
323,July 19 2015,DOG,Bull Terrier,2,M,false,Brooklyn,11207
324,July 18 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,false,Brooklyn,11213
325,July 21 2015,DOG,Mixed/Other,,U,false,Brooklyn,
326,July 22 2015,DOG,LABRADOR/PIT BULL X,,U,false,Brooklyn,11238
327,July 15 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11203
328,July 22 2015,DOG,Belgian Malinois,1,M,false,Brooklyn,11213
329,July 22 2015,DOG,PIT BULL/BOXER X,2,M,true,Brooklyn,11237
330,July 22 2015,DOG,PIT BULL/BULL DOG,2,M,true,Brooklyn,11237
331,July 22 2015,DOG,American Pit Bull Terrier/Pit Bull,6,F,false,Brooklyn,
332,July 22 2015,DOG,Yorkshire Terrier,6,M,true,Brooklyn,11231
333,July 25 2015,DOG,Maltese,1,M,false,Brooklyn,11218
334,July 25 2015,DOG,Shiba Inu,1,M,true,Brooklyn,11237
335,July 28 2015,DOG,RED-NOSE PIT BULL,9,M,true,Brooklyn,11206
336,July 29 2015,DOG,Doberman Pinscher,9,F,false,Brooklyn,11220
337,June 22 2015,DOG,Maltese,7,F,false,Brooklyn,
338,July 29 2015,DOG,MUTT,2,M,true,Brooklyn,11203
339,July 28 2015,DOG,Pit Bull,,U,false,Brooklyn,11226
340,July 29 2015,DOG,Shih Tzu,5,F,false,Brooklyn,11249
341,July 31 2015,DOG,Labrador Retriever,10,M,true,Brooklyn,11207
342,August 02 2015,DOG,"Bull Dog, English",9,M,true,Brooklyn,11217
343,July 27 2015,DOG,Labrador Retriever Crossbreed,7,U,false,Brooklyn,
344,July 30 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11215
