,id,breed,intake_type,intake_subtype,date_in,condition,outcome,outcome_sub,date_out
449,A1094045,GERM SHEPHERD,STRAY,AT LARGE,1582675200.0,APP WNL,RETURNED TO OWNER,FIELD,1582675200.0
450,A1090042,PIT BULL,STRAY,AT LARGE,1575417600.0,APP WNL,ADOPTION,EAC,1576713600.0
451,A1100978,CROW,WILDLIFE,NON-RABIES,1588982400.0,APP INJ,WILDLIFE,TRANSFER,1588982400.0
452,A1078540,DOMESTIC SH,FOSTER,SURGERY,1573776000.0,UNKNOWN,FOSTER,SURGERY,1573776000.0
453,A1091273,PIT BULL,STRAY,AT LARGE,1576713600.0,APP WNL,RETURNED TO OWNER,FIELD,1576713600.0
454,A1096107,CATAHOULA,STRAY,WEB,1581724800.0,NORMAL,LOST EXP,OTHER,1584403200.0
455,A1091951,DOMESTIC SH,STRAY,AT LARGE,1577491200.0,APP WNL,ADOPTION,WALK IN,1577664000.0
456,A1093358,PIT BULL,STRAY,CONFINED,1578960000.0,APP WNL,TRANSFER,UNDERAGE,1579824000.0
457,A1091244,GREAT PYRENEES,STRAY,CONFINED,1576627200.0,APP INJ,FOSTER,GENERAL,1576886400.0
458,A1091087,PIT BULL,STRAY,CONFINED,1576540800.0,APP WNL,ADOPTION,WALK IN,1576627200.0
459,A1089683,YORKSHIRE TERR,STRAY,WEB,1573344000.0,NORMAL,LOST EXP,OTHER,1577664000.0
460,A1091976,GUINEA PIG,OWNER SURRENDER,GENERAL,1577491200.0,APP WNL,ADOPTION,WALK IN,1577664000.0
461,A1094338,PIT BULL,STRAY,AT LARGE,1579996800.0,APP WNL,ADOPTION,WALK IN,1582675200.0
462,A1091924,DOMESTIC SH,STRAY,AT LARGE,1577404800.0,APP WNL,ADOPTION,WALK IN,1578787200.0
463,A1083298,DOMESTIC SH,FOSTER,GENERAL,1576281600.0,APP WNL,ADOPTION,EAC,1576713600.0
464,A1091269,DOMESTIC SH,STRAY,CONFINED,1576713600.0,APP INJ,EUTHANIZED,HUMANE,1576713600.0
465,A1098463,PIT BULL,STRAY,AT LARGE,1584057600.0,APP WNL,ADOPTION,WESTMORELD,1584403200.0
466,A1087012,GERM SHEPHERD,TREATMENT,HEART WORM,1578787200.0,APP WNL,TREATMENT,COMPLETED,1578787200.0
467,A1091808,BOXER,STRAY,AT LARGE,1577318400.0,APP WNL,TRANSFER,TRANSPORT,1577664000.0
468,A1092656,CHIHUAHUA SH,STRAY,AT LARGE,1578268800.0,APP WNL,TRANSFER,GENERAL,1578787200.0
469,A1091107,CHIHUAHUA SH,STRAY,AT LARGE,1576540800.0,UNKNOWN,ADOPTION,WALK IN,1576713600.0
470,A1091899,CHIHUAHUA SH,STRAY,AT LARGE,1577404800.0,APP WNL,RETURNED TO OWNER,WALK IN,1577664000.0
