cond,age,color,breed,target
normal,Young,brown,labrador retriever,1
injured,Young,black,keeshond,1
normal,Young,black,labrador retriever,1
normal,Young,white,bulldog,0
normal,Young,brown,boxer,0
normal,Young,black,labrador retriever,0
aged,Senior,black,labrador retriever,0
normal,Senior,red,dachshund,0
normal,Senior,black,miniature pinscher,1
normal,Adult,white,pointer,0
injured,Adult,red,australian cattle dog,0
normal,Baby,white,pit bull,0
normal,Adult,brown,boxer,1
normal,Adult,brown,pit bull,1
injured,Adult,white,bulldog,1
normal,Adult,black,pug,1
injured,Adult,white,chihuahua,0
normal,Young,red,basenji,0
normal,Adult,black,beagle,0
normal,Adult,brown,labrador retriever,0
normal,Adult,black,german shepherd,0
normal,Adult,black,miniature pinscher,1
normal,Adult,tan,cairn terrier,0
normal,Young,tan,belgian malinois,0
normal,Senior,brown,australian cattle dog,1
normal,Young,blue,american staffordshire terrier,0
normal,Baby,yellow,labrador retriever,0
normal,Adult,brown,chow chow,1
normal,Adult,black,black and tan coonhound,0
normal,Adult,red,chihuahua,1
normal,Baby,red,australian cattle dog,0
injured,Adult,white,chihuahua,1
normal,Young,blue,pit bull,1
normal,Adult,red,pit bull,0
normal,Adult,yellow,labrador retriever,1
normal,Adult,buff,chihuahua,0
normal,Young,white,boston terrier,0
normal,Young,brown,cairn terrier,0
normal,Young,chocolate,pointer,1
normal,Baby,black,labrador retriever,1
injured,Young,black,labrador retriever,1
normal,Baby,white,dachshund,0
normal,Young,black,pit bull,1
normal,Adult,black,pit bull,1
normal,Young,white,pit bull,0
normal,Young,black,pit bull,1
normal,Young,black,border collie,1
normal,Young,chocolate,pit bull,1
normal,Adult,white,anatolian sheepdog,1
normal,Adult,blue,american staffordshire terrier,0
injured,Adult,fawn,pit bull,0
normal,Adult,chocolate,border collie,1
normal,Adult,white,great pyrenees,1
normal,Adult,tan,chihuahua,1
normal,Adult,yellow,basset hound,1
normal,Adult,brown,german shepherd,0
injured,Adult,tricolor,australian shepherd,1
normal,Adult,fawn,pit bull,1
normal,Young,brown,pharaoh hound,1
normal,Adult,black,chihuahua,0
normal,Young,black,boxer,1
normal,Young,red,redbone coonhound,0
normal,Adult,white,miniature poodle,1
injured,Young,tan,dachshund,1
normal,Adult,white,fox terrier,0
normal,Young,black,labrador retriever,1
normal,Adult,red,dachshund,1
normal,Adult,brown,golden retriever,0
normal,Adult,white,miniature poodle,1
normal,Young,black,dachshund,0
normal,Young,brown,pit bull,1
normal,Adult,black,pit bull,1
normal,Adult,tan,pit bull,1
normal,Baby,cream,yorkshire terrier,1
normal,Baby,tan,yorkshire terrier,1
normal,Young,black,german shepherd,0
normal,Adult,white,jack russell terrier,1
normal,Adult,black,boston terrier,1
normal,Adult,red,labrador retriever,1
normal,Adult,black,labrador retriever,1
normal,Young,black,australian cattle dog,0
normal,Adult,white,chihuahua,0
nursing,Adult,red,australian shepherd,1
nursing,Baby,white,australian shepherd,1
nursing,Baby,white,australian shepherd,1
nursing,Baby,chocolate,australian shepherd,1
nursing,Baby,white,australian shepherd,1
injured,Adult,black,flat-coated retriever,0
normal,Young,black,pit bull,0
normal,Adult,black,pit bull,1
normal,Adult,yellow,pit bull,1
normal,Adult,brown,belgian malinois,0
normal,Young,tricolor,jack russell terrier,0
normal,Adult,chocolate,pit bull,1
normal,Adult,brown,pit bull,1
normal,Adult,black,pit bull,0
normal,Adult,black,border collie,1
normal,Adult,red,dachshund,0
normal,Adult,tan,pit bull,1
normal,Baby,brown,border collie,0
normal,Adult,white,chihuahua,0
normal,Young,black,labrador retriever,1
normal,Young,brown,labrador retriever,1
normal,Adult,black,pit bull,0
normal,Young,blue,chihuahua,1
normal,Young,black,australian shepherd,0
normal,Young,yellow,chihuahua,0
normal,Young,brown,chihuahua,1
normal,Young,sable,german shepherd,1
injured,Adult,brown,dachshund,0
normal,Adult,tricolor,australian shepherd,0
normal,Adult,blue,pit bull,1
normal,Young,brown,american pit bull terrier,1
normal,Young,white,jack russell terrier,0
injured,Young,brown,chihuahua,1
normal,Young,black,border collie,1
normal,Young,black,pit bull,1
normal,Young,tan,australian shepherd,0
normal,Adult,blue,american staffordshire terrier,1
normal,Adult,brown,mastiff,0
normal,Adult,tan,chihuahua,0
normal,Adult,brown,german shepherd,1
normal,Adult,tan,silky terrier,0
normal,Adult,sable,german shepherd,0
injured,Young,brown,dachshund,1
normal,Adult,sable,chihuahua,0
normal,Adult,white,pit bull,1
normal,Young,white,pit bull,0
normal,Baby,brown,german shepherd,0
normal,Adult,black,american staffordshire terrier,1
normal,Adult,black,american staffordshire terrier,0
normal,Young,blue,australian cattle dog,1
normal,Young,red,redbone coonhound,0
normal,Young,tan,chihuahua,0
normal,Adult,cream,chihuahua,1
normal,Baby,tan,german shepherd,1
normal,Baby,tan,german shepherd,1
normal,Baby,tan,german shepherd,1
normal,Senior,blue,australian cattle dog,1
normal,Adult,tan,labrador retriever,1
normal,Young,tan,cairn terrier,0
