id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
47538,3/4/17 0:00,Abandoned,0,D17031547,9.8102E+14,Gus,Labrador Retriever/Coonhound,Chocolate,Dog,2 years 10 months.,Male,Foster,4/3/17 0:00,Adoption,0,,Stray,,Healthy,0,0,0
47539,3/4/17 0:00,Abandoned,0,C17031548,9.8102E+14,Zack Attack,DSH/Unknown,Grey and White,Cat,4 years 9 months.,Male,Adoptable Cat Glass Colony,4/1/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47540,3/4/17 0:00,Abandoned,0,C17031549,9.8102E+14,Buggs,DSH/Unknown,Black,Cat,1 year 11 months.,Male,Adoptable Cat Glass Colony,4/1/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47558,3/6/17 0:00,Abandoned,0,D17031567,9.8102E+14,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,6 years 2 months.,Male,Adoptable Dogs,3/29/17 0:00,Adoption,0,4/4/17 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
47558,3/6/17 0:00,Abandoned,0,D17031567,9.8102E+14,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,6 years 2 months.,Male,Adoptable Dogs,4/12/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47562,3/6/17 0:00,Abandoned,0,C17031571,9.8102E+14,Garden,DSH/Unknown,White,Cat,6 years 8 months.,Male,Adoptable Cat Kennels,3/31/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47575,3/7/17 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,3/10/17 0:00,Foster,0,4/15/17 0:00,Stray,,Died in care,0,0,0
47575,3/7/17 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,4/15/17 0:00,Adoption,0,5/12/17 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
47575,3/7/17 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,5/12/17 0:00,Foster,0,5/15/17 0:00,Stray,,Died in care,0,0,0
47575,3/7/17 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,5/16/17 0:00,Adoption,0,12/27/17 0:00,Moving,,Died in care,0,0,0
47575,3/7/17 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,12/30/17 0:00,Adoption,0,10/5/18 0:00,Landlord issues,,Died in care,0,0,0
47575,3/7/17 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,10/15/18 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47576,3/7/17 0:00,Abandoned,0,D17031585,9.8102E+14,Patty,Pitbull,Tan,Dog,3 years 5 months.,Female,Adoptable Dogs,6/5/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47582,3/7/17 0:00,Abandoned,0,D17031591,9.8102E+14,Dibs,Pitbull/Mix,White,Dog,2 years 10 months.,Male,Stray Dogs Beta,4/25/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47591,3/9/17 0:00,Abandoned,0,D17031600,9.8102E+14,Serafina,Papillon,White,Dog,6 years 9 months.,Female,Foster,3/16/17 0:00,Foster,0,5/22/17 0:00,Stray,,Died in care,0,0,0
47591,3/9/17 0:00,Abandoned,0,D17031600,9.8102E+14,Serafina,Papillon,White,Dog,6 years 9 months.,Female,Foster,5/22/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47595,3/9/17 0:00,Owner Deceased,0,C17031604,9.8102E+14,Zips,Domestic Short Hair,Black and White,Cat,8 years 8 months.,Female,Adoptable Cat Big Colony,6/16/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47613,3/10/17 0:00,Abandoned,0,D17031620,9.8102E+14,Waylon,Beagle,Tricolour,Dog,4 years 8 months.,Male,Stray Dogs Beta,4/2/17 0:00,Adoption,0,9/5/17 0:00,Stray,,Died in care,0,0,0
47613,3/10/17 0:00,Abandoned,0,D17031620,9.8102E+14,Waylon,Beagle,Tricolour,Dog,4 years 8 months.,Male,Stray Dogs Beta,9/5/17 0:00,Reclaimed,0,9/5/17 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
47613,3/10/17 0:00,Abandoned,0,D17031620,9.8102E+14,Waylon,Beagle,Tricolour,Dog,4 years 8 months.,Male,Stray Dogs Beta,9/6/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47617,3/10/17 0:00,Abandoned,0,C17031624,9.8102E+14,Jesse,DSH/Unknown,Grey and White,Cat,5 years 8 months.,Female,Adoptable Cat Kennels,4/7/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47627,3/11/17 0:00,Abandoned,0,C17031634,9.8102E+14,Binks,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Feline Nursery,4/6/17 0:00,Foster,0,5/10/17 0:00,Stray,,Died in care,0,0,0
47627,3/11/17 0:00,Abandoned,0,C17031634,9.8102E+14,Binks,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Feline Nursery,5/14/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47628,3/11/17 0:00,Abandoned,0,C17031635,9.8102E+14,Bobbin,DSH/Unknown,Fawn,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,4/6/17 0:00,Foster,0,5/17/17 0:00,Stray,,Died in care,0,0,0
47628,3/11/17 0:00,Abandoned,0,C17031635,9.8102E+14,Bobbin,DSH/Unknown,Fawn,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,5/18/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47629,3/11/17 0:00,Abandoned,0,C17031636,9.8102E+14,Binkie,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,4/6/17 0:00,Foster,0,5/17/17 0:00,Stray,,Died in care,0,0,0
47629,3/11/17 0:00,Abandoned,0,C17031636,9.8102E+14,Binkie,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,5/18/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47630,3/11/17 0:00,Abandoned,0,C17031637,9.8102E+14,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,4/6/17 0:00,Foster,0,4/18/17 0:00,Stray,,Died in care,0,0,0
47630,3/11/17 0:00,Abandoned,0,C17031637,9.8102E+14,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,4/18/17 0:00,Foster,0,5/10/17 0:00,Stray,,Died in care,0,0,0
47630,3/11/17 0:00,Abandoned,0,C17031637,9.8102E+14,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,5/16/17 0:00,Foster,0,6/15/17 0:00,Stray,,Died in care,0,0,0
47630,3/11/17 0:00,Abandoned,0,C17031637,9.8102E+14,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,6/15/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47631,3/11/17 0:00,Abandoned,0,C17031638,9.8102E+14,Boomer,DLH/Unknown,Orange,Cat,1 year 9 months.,Male,Feline Nursery,4/6/17 0:00,Foster,0,4/18/17 0:00,Stray,,Died in care,0,0,0
47631,3/11/17 0:00,Abandoned,0,C17031638,9.8102E+14,Boomer,DLH/Unknown,Orange,Cat,1 year 9 months.,Male,Feline Nursery,4/18/17 0:00,Foster,0,5/10/17 0:00,Stray,,Died in care,0,0,0
47631,3/11/17 0:00,Abandoned,0,C17031638,9.8102E+14,Boomer,DLH/Unknown,Orange,Cat,1 year 9 months.,Male,Feline Nursery,5/11/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47632,3/11/17 0:00,Abandoned,0,C17031639,9.8102E+14,Evan,DSH/Unknown,Brown,Cat,1 year 9 months.,Male,Feline Nursery,4/6/17 0:00,Foster,0,4/18/17 0:00,Stray,,Died in care,0,0,0
47632,3/11/17 0:00,Abandoned,0,C17031639,9.8102E+14,Evan,DSH/Unknown,Brown,Cat,1 year 9 months.,Male,Feline Nursery,4/18/17 0:00,Foster,0,5/10/17 0:00,Stray,,Died in care,0,0,0
47632,3/11/17 0:00,Abandoned,0,C17031639,9.8102E+14,Evan,DSH/Unknown,Brown,Cat,1 year 9 months.,Male,Feline Nursery,5/11/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47633,3/11/17 0:00,Abandoned,0,C17031640,9.8102E+14,Beaux,DSH/Unknown,Brown and Black,Cat,1 year 9 months.,Female,Feline Nursery,4/6/17 0:00,Foster,0,5/11/17 0:00,Stray,,Died in care,0,0,0
47633,3/11/17 0:00,Abandoned,0,C17031640,9.8102E+14,Beaux,DSH/Unknown,Brown and Black,Cat,1 year 9 months.,Female,Feline Nursery,5/16/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47634,3/11/17 0:00,Abandoned,0,C17031641,9.8102E+14,Dusty,Domestic Short Hair,Seal,Cat,1 year 8 months.,Female,Feline Nursery,4/6/17 0:00,Foster,0,5/2/17 0:00,Stray,,Died in care,0,0,0
47634,3/11/17 0:00,Abandoned,0,C17031641,9.8102E+14,Dusty,Domestic Short Hair,Seal,Cat,1 year 8 months.,Female,Feline Nursery,5/4/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47635,3/11/17 0:00,Abandoned,0,C17031642,9.8102E+14,Ed,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Feline Nursery,4/6/17 0:00,Foster,0,5/2/17 0:00,Stray,,Died in care,0,0,0
