name,neighborhood,address,url,latitude,longitude,image,tags,categories
Chan,Downtown,"86 Pine Street, Seattle, WA 98101",https://intentionalist.com/b/chan/,47.6098148,-122.3412815,https://intentionalist.com/wp-content/uploads/2019/04/17814612_1490895254278210_7890296438964268530_o-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Restaurants']
Kokkaku,"Seattle, WA","2208 North 45th Street, Seattle, WA",https://intentionalist.com/b/kokkaku/,47.6616363,-122.3320719,https://intentionalist.com/wp-content/uploads/2019/04/19905304_466991523678322_2338205787045726720_n-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Restaurants']
S & L Cafe,Queen Anne,"535 W McGraw St, Seattle, WA 98119",https://intentionalist.com/b/s-l-cafe/,47.6394079,-122.3647168,https://intentionalist.com/wp-content/uploads/2019/04/sl2-150x150.jpg,"['Asian-Owned', 'Minority-Owned']","['Coffee, Tea & Juice']"
Zagol Ethiopian Restaurant,Central District,"2722 E Cherry St, Seattle, WA 98122",https://intentionalist.com/b/zagol/,47.6081699,-122.296753,https://intentionalist.com/wp-content/uploads/2019/04/zagol-150x150.jpg,"['Black-Owned', 'Minority-Owned']",['Restaurants']
Pane Pane Sandwiches,Downtown,"304 Union St, Seattle, WA 98101",https://intentionalist.com/b/pane-pane/,47.6090069,-122.3367699,https://intentionalist.com/wp-content/uploads/2019/04/pane-pane-150x150.jpg,"['Asian-Owned', 'Minority-Owned']",['Cafe']
Mety’s Events,"Seattle, WA","3250 Airport Way S #223 Seattle, WA, 98134",https://intentionalist.com/b/metys-events/,47.5752041,-122.321112,https://intentionalist.com/wp-content/uploads/2019/04/metys-150x150.jpg,"['Black-Owned', 'Minority-Owned', 'Woman-Owned']",['Catering']
QueenCare – Columbia City,Columbia City,"3702 S Hudson St Ste. 103, Seattle, WA 98118",https://intentionalist.com/b/queencare-columbia-city/,47.5572681,-122.2859815,https://intentionalist.com/wp-content/uploads/2019/04/QueenCare-1-150x150.jpg,"['Black-Owned', 'Minority-Owned', 'Woman-Owned']",['Beauty & Spa']
Ugly Mug Cafe & Coffee Roasters – Interbay,Interbay,"1607 W Dravus St., Seattle WA, 98119",https://intentionalist.com/b/ugly-mug-cafe-coffee-roasters-interbay/,47.6482695,-122.3780215,https://intentionalist.com/wp-content/uploads/2019/03/50911447_10157051977123588_6773135435490131968_o-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Cafe']
Rainier Restaurant & BBQ,Rainier Valley,"6400 Martin Luther King Jr Way S, Seattle, WA 98118",https://intentionalist.com/b/rainier-restaurant/,47.5451872,-122.2846721,https://intentionalist.com/wp-content/uploads/2019/03/rainier-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Restaurants']
The Comfort Zone,Columbia City,"5016 Rainier Ave S, Seattle, WA 98118",https://intentionalist.com/b/the-comfort-zone/,47.5567079,-122.2838987,https://intentionalist.com/wp-content/uploads/2019/03/the-comfort-zone-150x150.jpg,"['Black-Owned', 'Minority-Owned', 'Woman-Owned']",['Restaurants']
Amy’s Merkato,Hillman City,"5710 Rainier Ave S, Seattle, WA 98118",https://intentionalist.com/b/amys-merkato/,47.5509558,-122.2771698,https://intentionalist.com/wp-content/uploads/2019/03/GU86w9KYTdKVBXodoxsBtQ-150x150.jpg,"['Black-Owned', 'Minority-Owned', 'Woman-Owned']",['Restaurants']
Rival Fitness,Capitol Hill,"510 E Pine St, Seattle, WA 98122, USA",https://intentionalist.com/b/rival-fitness/,47.6153443,-122.32483460000003,https://intentionalist.com/wp-content/uploads/2019/02/rival-fitness-150x150.jpg,"['Black-Owned', 'Minority-Owned']",['Gyms & Yoga']
Gold Bar and Oro Kitchen,South Lake Union,"227 9th Ave N, Seattle, WA 98109",https://intentionalist.com/b/gold-bar-and-oro-kitchen/,47.6205243,-122.3402055,https://intentionalist.com/wp-content/uploads/2019/02/gold-bar-150x150.jpg,"['Latino-Owned', 'Minority-Owned', 'Woman-Owned']",['Bars']
The Cura Co.,Central District,"2407 E Union Suite D Seattle, WA 98122",https://intentionalist.com/b/the-cura-co/,47.6126787,-122.3011503,https://intentionalist.com/wp-content/uploads/2019/03/the-cura-co-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Art Galleries']
Westman’s Bagel and Coffee,Capitol Hill,"1509 E Madison St, Seattle, WA 98122, USA",https://intentionalist.com/b/westmans-bagel/,47.6144969,-122.31212579999999,https://intentionalist.com/wp-content/uploads/2019/02/51165066_2267078403577477_8145387502425866240_o-150x150.jpg,"['Latino-Owned', 'Minority-Owned', 'Woman-Owned']",['Bakeries']
The Handmade Showroom,Downtown,"600 Pine St #330, Seattle, WA 98101",https://intentionalist.com/b/the-handmade-showroom/,47.6128391,-122.3351116,https://intentionalist.com/wp-content/uploads/2019/03/THS_March2020_RainbowWindow1-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Shopping']
Eyebrowbaby Microblading + Beauty,Ballard,"5308 Ballard Ave NW Suite C, Seattle, WA 98107",https://intentionalist.com/b/eyebrowbaby-microblading-beauty/,47.6666768,-122.3833298,https://intentionalist.com/wp-content/uploads/2019/03/Liesl_Shop_-488-150x150.jpg,"['LGBTQ-Owned', 'Minority-Owned', 'Woman-Owned']",['Beauty & Spa']
Mose Auto,Georgetown,"719 S Myrtle St, Seattle, WA 98108",https://intentionalist.com/b/mose-auto/,47.5392176,-122.3243961,https://intentionalist.com/wp-content/uploads/2019/02/mose-auto_facebook2-150x150.jpg,"['LGBTQ-Owned', 'Minority-Owned', 'Woman-Owned']",['Auto Repair']
Columbia City Fitness Center – Jackson,Central District,"2609 S Jackson St, Seattle, WA 98144, USA",https://intentionalist.com/b/columbia-city-fitness-center-jackson-street/,47.59901259999999,-122.29822960000001,https://intentionalist.com/wp-content/uploads/2019/03/526026_483265468360424_220468552_n-150x150.jpg,"['Black-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Gyms & Yoga']
Hood Famous Cafe + Bar,Chinatown ID,"504 5th Ave S, Suite 107A, Seattle, WA 98104",https://intentionalist.com/b/hood-famous-cafe-bar/,47.5981048,-122.3274659,https://intentionalist.com/wp-content/uploads/2019/03/HFCB-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Bars']
East African Imports & Restaurant,Central District,"306 23rd Ave S #104, Seattle, WA 98144",https://intentionalist.com/b/east-african-imports/,47.6001137,-122.301807,https://intentionalist.com/wp-content/uploads/2019/03/283053_170622219677578_2893432_n-150x150.jpg,"['Black-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']","['Grocery, Markets & Convenience Stores']"
Mr. West Cafe Bar,Downtown,"720 Olive Way, Seattle, WA 98101",https://intentionalist.com/b/mr-west/,47.6142094,-122.3347106,https://intentionalist.com/wp-content/uploads/2019/03/mr-west_facebook-150x150.jpg,"['Asian-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Cafe']
Estelita’s Library,Beacon Hill,"2533 16th Ave S Seattle, Washington 98144",https://intentionalist.com/b/estelitas-library/,47.5799422,-122.312318,https://intentionalist.com/wp-content/uploads/2019/03/FB_IMG_1552510086610-150x150.jpg,"['Black-Owned', 'Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Art Galleries']
Seattle Yarn,"Seattle, WA","5633 California Ave SW, Seattle, WA 98136",https://intentionalist.com/b/seattle-yarn/,47.5511431,-122.387566,https://intentionalist.com/wp-content/uploads/2019/03/seattle-yarn-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Arts & Crafts']
Tougo Coffee – Yesler,First Hill,"860 E Yesler Way, Seattle, WA 98122, USA",https://intentionalist.com/b/tougo-coffee-yesler/,47.601698,-122.32074790000001,https://intentionalist.com/wp-content/uploads/2019/03/2FF2EFC2-6349-4076-967C-F15A950F410D-150x150.jpg,"['Black-Owned', 'Minority-Owned']","['Coffee, Tea & Juice']"
Konvene Coffee,Queen Anne,"500 Mercer St Floor 2, Seattle, WA 98109",https://intentionalist.com/b/konvene-coffee/,47.6250236,-122.347126,https://intentionalist.com/wp-content/uploads/2019/03/o-81-150x150.jpg,"['Family-Owned', 'Minority-Owned', 'Woman-Owned']",['Bakeries']
Cafe Campagne,Downtown,"1600 Post Alley, Seattle, WA 98101, USA",https://intentionalist.com/b/cafe-campagne/,47.6097561,-122.3415071,https://intentionalist.com/wp-content/uploads/2019/02/o-80-150x150.jpg,"['Black-Owned', 'Minority-Owned']",['Cafe']
The Mailbox Seattle,Belltown,"300 Lenora St, Seattle, WA 98121",https://intentionalist.com/b/the-mailbox-seattle/,47.6134195,-122.3422131,https://intentionalist.com/wp-content/uploads/2019/02/the-mailbox-150x150.jpg,"['Asian-Owned', 'Minority-Owned', 'Woman-Owned']",['Other Services']
