breed,classification,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,purebred,breed_1,breed_2
bullboxer staffy bull,,0.5,26.0,40.0,17.5,20.5,44.5,49.0,0,boxer,staffordshire bull terrier
bullhuahua,,0.2,61.0,90.0,9.0,12.5,26.0,32.5,0,bulldog,chihuahua
bullhuahua terrier,,0.3,41.0,80.0,13.5,15.5,26.0,37.5,0,bull terrier,chihuahua
bullmasador,,0.625,21.0,42.0,23.0,25.5,77.5,105.0,0,bullmastiff,labrador retriever
bullmastiff shepherd,,0.625,21.0,42.0,23.5,26.5,87.5,110.0,0,bullmastiff,german shepherd
bullmatian,,0.39999999999999997,48.5,62.5,15.5,19.5,47.5,65.0,0,bulldog,dalmatian
bullmatian terrier,,0.5,28.5,52.5,20.0,22.5,47.5,70.0,0,bull terrier,dalmatian
bullsky mastiff,,0.4,33.5,60.0,22.5,25.0,70.0,95.0,0,bullmastiff,siberian husky
bullwhip,,0.3,53.5,70.0,15.0,19.0,38.5,45.0,0,bulldog,whippet
bully basset,,0.1,81.0,100.0,13.0,15.0,45.0,55.0,0,basset hound,bulldog
bully-tzu,,0.1,81.0,100.0,10.0,13.5,29.5,38.0,0,bulldog,shih tzu
bushland terrier,,0.5,28.5,52.5,9.5,11.0,16.0,18.0,0,cairn terrier,scottish terrier
cairanian,,0.7749999999999999,10.5,20.0,10.5,11.0,8.5,10.5,0,cairn terrier,pomeranian
cairicocker,,0.7749999999999999,10.5,20.0,12.0,13.0,18.0,21.0,0,cairn terrier,cocker spaniel
cairmal,,0.5,28.5,52.5,8.5,10.0,9.0,10.0,0,cairn terrier,maltese
cairn beagle,,0.39999999999999997,48.5,62.5,11.0,13.0,16.0,22.0,0,cairn terrier,beagle
cairn chin,,0.5,28.5,52.5,8.5,10.5,9.0,12.5,0,cairn terrier,japanese chin
carin australian shepterrier,,0.6,21.0,32.5,13.5,16.5,27.0,37.0,0,australian shepherd,cairn terrier
cairoston,,0.6,21.0,32.5,11.5,12.5,14.5,19.5,0,cairn terrier,boston terrier
cardigan corgi pointer,,0.675,15.5,27.5,15.5,18.0,34.5,50.5,0,cardigan welsh corgi,pointer
cardigan corman shepherd,,0.8999999999999999,3.0,9.5,16.0,19.0,50.0,62.5,0,cardigan welsh corgi,german shepherd
care-tzu,,0.39999999999999997,48.5,62.5,8.5,10.5,11.5,15.0,0,cairn terrier,shih tzu
carkie,,0.7,16.0,25.0,8.5,9.0,8.5,10.5,0,cairn terrier,yorkshire terrier
cattle collie dog,,0.8999999999999999,3.0,9.5,19.5,23.0,42.5,60.0,0,australian cattle dog,collie
