state,year,reporting_organizations,stray_at_large_feline,relinquished_by_owner_feline,intake_owner_intended_euthanasia_feline,transferred_in_from_agency_feline,other_intakes_feline,adoption_feline,returned_to_owner_feline,transfer_to_another_agency_feline,returned_to_field_feline,other_live_outcome_feline,died_in_care_feline,lost_in_care_feline,shelter_euthanasia_feline,outcome_owner_intended_euthanasia_feline,stray_at_large_canine,relinquished_by_owner_canine,intake_owner_intended_euthanasia_canine,transferred_in_from_agency_canine,other_intakes_canine,adoption_canine,returned_to_owner_canine,transfer_to_another_agency_canine,returned_to_field_canine,other_live_outcome_canine,died_in_care_canine,lost_in_care_canine,shelter_euthanasia_canine,outcome_owner_intended_euthanasia_canine
NJ,2018,26,8478,3386,13,1484,441,8154,371,2311,767,12,513,19,1190,20,2529,2023,19,5964,339,4600,1508,3981,1,3,46,1,356,20
RI,2018,8,541,771,7,441,260,1665,102,128,6,0,81,3,68,3,694,402,40,1514,404,2041,628,194,0,10,9,0,81,43
VA,2018,51,6530,7474,50,9735,1090,19667,632,2029,146,2,828,17,838,54,5914,5617,103,11641,862,17404,3564,2248,1,1,134,10,580,102
WA,2017,45,26219,13597,1320,14372,1799,40266,1741,6523,1536,228,1087,40,4347,1294,19417,8625,2344,12353,2004,26839,10649,3032,15,11,146,30,1557,2295
MI,2017,39,6167,8286,729,2514,687,14933,471,376,403,29,380,7,949,751,3923,3146,777,6236,652,10791,1906,663,0,23,67,1,603,797
AL,2018,27,10134,6845,88,950,186,8965,769,798,1295,10,438,44,5898,56,16112,9126,201,2414,848,11433,2874,7166,1,35,398,53,6154,170
TX,2016,95,53011,16869,803,8346,3471,32651,1502,9762,8828,1375,3391,428,19524,699,95865,33779,2866,20773,6541,65633,22742,37595,106,1797,1937,405,22398,2865
TX,2018,95,46410,14928,678,10980,5925,37948,3199,11115,12414,1070,3689,463,8011,596,90773,31883,3131,19941,8821,67688,24343,39343,743,1387,2290,358,14037,2871
GA,2018,65,15360,9525,224,7666,3305,21150,568,6067,1991,941,1601,64,3498,215,19435,11928,582,11014,6413,27387,5504,10503,3,775,460,24,4156,567
WV,2017,9,2967,1153,7,256,184,2513,70,240,20,342,190,9,1056,6,3348,1566,23,507,269,2991,641,1684,0,85,68,6,212,20
NE,2018,13,2124,798,0,122,190,2138,85,133,124,6,148,9,591,0,1415,817,1,832,482,2395,879,148,0,6,14,3,75,0
IL,2017,45,9464,9313,314,7362,771,18523,491,4731,349,13,683,12,2075,332,5514,7797,859,11939,1410,17393,2639,4348,0,12,286,2,1865,839
KS,2018,11,2156,4444,179,3545,204,7140,574,1506,13,88,88,2,901,163,2940,3999,584,4393,153,7267,1407,1987,0,0,48,5,640,560
AZ,2018,54,19289,11864,931,2631,2560,22362,569,4136,2704,172,1342,136,4445,929,36823,22443,3145,6454,5337,42863,10718,9872,2,280,654,172,4516,3078
DC,2018,2,2406,1067,324,160,120,2651,122,149,462,10,81,4,305,242,1276,904,677,217,209,1617,603,97,0,6,30,3,328,586
SC,2017,29,14809,4972,83,3160,3473,14511,882,1831,4377,491,1060,91,3771,77,16322,6637,326,5826,2580,18094,3775,6673,38,403,323,41,2283,262
SD,2016,3,371,173,0,34,17,296,35,150,3,79,20,0,13,1,249,143,1,19,4,130,85,183,0,17,1,1,2,1
LA,2017,31,11854,2878,179,2880,2167,9573,275,2640,1706,209,895,41,4330,201,7953,3945,300,4718,3739,8728,2453,5885,6,67,184,17,3116,329
OH,2018,41,16030,8625,577,3318,3408,22960,791,531,2687,293,745,20,2416,586,9347,5898,651,6813,4255,18165,3006,3293,1,179,200,2,1643,634
IA,2017,10,5497,3812,364,355,638,7171,506,417,5,57,491,10,1395,365,3156,2085,586,1146,970,4117,2490,138,1,6,40,3,476,590
FL,2016,93,73560,25779,2549,8281,4410,57352,2545,15086,13840,1818,3452,278,19722,2284,53024,27751,4386,15211,6705,62798,15261,14975,3,972,652,86,8479,4127
TN,2017,49,13729,6810,329,2032,1913,13387,1043,3128,2338,229,675,10,3702,284,15942,11650,703,3005,3150,14856,6019,9762,0,129,382,31,2890,633
CA,2018,155,108188,24135,3261,18100,8105,89306,5060,21111,8199,3581,4206,690,23222,3354,104336,34674,8868,20434,10787,86546,39751,25159,17,1065,1132,252,13613,8580
MT,2018,15,2805,2223,12,347,372,4532,353,110,159,102,78,4,439,13,3206,1952,13,1100,331,3973,2235,130,0,16,20,4,152,17
UT,2018,38,9736,4440,619,5287,2370,11499,817,3400,1693,1710,753,15,2051,454,9477,4439,1418,5734,1497,11691,6510,1747,1,433,133,22,655,1139
SC,2018,29,14333,4535,131,3206,3395,15164,1550,1500,3493,148,903,53,2214,122,16120,5640,396,6018,2670,17471,3438,6606,1,686,252,24,2060,348
MA,2017,26,4876,7170,745,3002,636,13162,610,229,179,23,141,28,1079,733,728,2960,1014,4374,281,6654,581,330,0,16,14,5,538,1015
MS,2017,17,4590,3483,67,855,139,5190,189,864,204,231,501,358,1323,67,7750,5981,280,5562,280,5539,1454,10934,1,9,273,62,1458,282
OH,2016,41,15448,8353,584,3131,1451,20919,704,919,2604,84,537,18,2466,592,10077,6037,647,6305,2150,15971,2732,3857,0,48,227,8,2071,665
AL,2017,27,11481,7326,30,1251,143,9680,260,920,795,14,417,79,7126,30,18605,10196,146,3259,563,12660,3109,7528,0,40,433,36,6484,141
