intake_type,condition,age_in,breed,outcome,age_out,sex,intact_out,age,primary_color,secondary_color,breed_1,breed_2,pure,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,time_in_shelter,at_risk,cond,breed_3
stray,normal,6.0,german shepherd,adoption,6.0,0,0,adult,tricolor,tricolor,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,198,1,,german shepherd
surrender,injured,4.0,silky terrier,adoption,4.0,1,0,adult,gray,gold,silky terrier,silky terrier,1.0,0.5698581560283685,25.31914893617021,41.02836879432624,9.0,10.0,8.0,11.0,31,1,,other
stray,normal,10.0,chihuahua,adoption,10.0,1,0,senior,black,tan,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,28,1,,chihuahua
stray,normal,7.0,pit bull,died,7.0,1,0,adult,white,black,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,28,1,,pit bull
public_assist,injured,4.0,pit bull,euthanasia,4.0,0,0,adult,brown,brindle,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,11,0,,pit bull
stray,normal,9.0,chihuahua,adoption,9.0,1,0,senior,white,brown,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,8,0,,chihuahua
surrender,normal,10.0,pit bull,adoption,11.0,1,0,senior,white,blue,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,146,1,,pit bull
stray,normal,8.0,finnish spitz,adoption,8.0,1,0,adult,black,white,finnish spitz,finnish spitz,1.0,0.5,26.0,40.0,15.0,20.0,31.0,35.0,38,1,,other
stray,injured,4.0,labrador retriever,adoption,5.0,0,0,adult,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,71,1,,labrador retriever
surrender,normal,8.0,pit bull,adoption,8.0,0,0,adult,white,tan,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,15,0,,pit bull
stray,normal,5.0,pit bull,euthanasia,5.0,1,0,adult,black,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,24,1,,pit bull
stray,normal,4.0,pit bull,adoption,4.0,1,0,adult,brown,brindle,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,133,1,,pit bull
stray,normal,8.0,fox terrier,adoption,8.0,1,0,adult,white,brown,fox terrier,fox terrier,1.0,0.5,26.0,40.0,13.0,16.0,15.0,20.0,118,1,,fox terrier
stray,normal,3.0,labrador retriever,adoption,3.0,1,0,adult,black,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,29,1,,labrador retriever
stray,injured,5.0,pit bull,adoption,5.0,1,0,adult,red,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,108,1,,pit bull
surrender,normal,4.0,australian cattle dog,adoption,5.0,1,0,adult,white,black,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,182,1,,australian cattle dog
public_assist,normal,7.0,german shepherd,adoption,8.0,0,0,adult,black,tan,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,107,1,,german shepherd
surrender,normal,6.0,bulldog,adoption,7.0,1,0,adult,black,white,bulldog,bulldog,1.0,0.1,81.0,100.0,12.0,16.0,50.0,60.0,46,1,,other
surrender,normal,7.0,bulldog,adoption,7.0,1,0,adult,black,white,bulldog,bulldog,1.0,0.1,81.0,100.0,12.0,16.0,50.0,60.0,170,1,,other
surrender,normal,8.0,border collie/miniature pinscher,adoption,8.0,0,0,adult,black,brown,border collie,miniature pinscher,0.0,0.825,8.5,14.5,18.47058823529412,20.954248366013072,41.46732026143791,48.76143790849673,9,0,,border collie
stray,normal,6.0,pit bull,adoption,6.0,0,0,adult,fawn,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,118,1,,pit bull
stray,normal,3.0,border terrier,adoption,3.0,1,0,adult,white,black,border terrier,border terrier,1.0,0.7,16.0,25.0,12.0,15.0,12.0,15.0,9,0,,other
surrender,normal,6.0,mastiff,euthanasia,6.0,1,0,adult,brown,brindle,mastiff,mastiff,1.0,0.1,81.0,100.0,27.0,30.0,175.0,190.0,9,0,,other
stray,normal,8.0,german shepherd,adoption,8.0,1,0,adult,brown,black,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,13,0,,german shepherd
surrender,normal,8.0,rottweiler,adoption,8.0,1,0,adult,red,red,rottweiler,rottweiler,1.0,0.95,1.0,4.0,22.0,27.0,90.0,110.0,12,0,,other
stray,normal,4.0,pit bull,adoption,4.0,1,0,adult,black,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,28,1,,pit bull
surrender,normal,6.0,pit bull,adoption,6.0,0,0,adult,black,tiger,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,89,1,,pit bull
surrender,normal,5.0,chihuahua/jack russell terrier,adoption,5.0,1,0,adult,white,tan,chihuahua,jack russell terrier,0.0,0.4,33.5,60.0,11.970588235294118,14.954248366013072,22.46732026143791,31.26143790849673,43,1,,chihuahua
stray,normal,5.0,border terrier,adoption,5.0,1,0,adult,tan,buff,border terrier,border terrier,1.0,0.7,16.0,25.0,12.0,15.0,12.0,15.0,8,0,,other
surrender,normal,9.0,pit bull,adoption,9.0,1,0,senior,black,brindle,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,54,1,,pit bull
surrender,normal,7.0,chinese shar pei/labrador retriever,adoption,8.0,1,0,adult,brown,white,chinese shar pei,labrador retriever,0.0,0.725,13.5,22.0,19.5,22.0,50.0,67.5,155,1,,other
surrender,normal,8.0,pit bull,adoption,9.0,0,0,senior,tan,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,71,1,,pit bull
stray,injured,11.0,labrador retriever,euthanasia,11.0,1,0,senior,black,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,36,1,,labrador retriever
surrender,normal,9.0,beagle/german shepherd,adoption,9.0,1,0,senior,black,tan,beagle,german shepherd,0.0,0.525,41.0,52.0,17.5,21.0,46.5,60.0,11,0,,beagle
surrender,normal,4.0,basset hound,adoption,4.0,1,0,adult,tan,white,basset hound,basset hound,1.0,0.1,81.0,100.0,14.0,14.0,40.0,50.0,9,0,,other
